"filename","term","count_in_file"
"./fullindex.qmd","40,20",7
"./fullindex.qmd","55,15,15,15",10
"./styleguide.qmd","25,25,25,25",1
"./ttdl.qmd","40,20",2
"./ttdl.qmd","40,20,20,20",3
"./answers/as-completingthesquare.qmd","Guide: Introduction to complex numbers",2
"./answers/as-logarithms.qmd","0.5em",13
"./factsheets/f-commonderivatives.qmd","Proof sheet: Derivatives of other common functions",1
"./factsheets/f-commonintegrals.qmd","Proof sheet: Antiderivatives of other common functions",1
"./factsheets/f-greekletters.qmd","20,20,20",1
"./overviews/o-historyofnumbers.qmd","Overview: Number sets",1
"./overviews/o-recognizing3dsurfaces.qmd","For an overview of 2D curves, please see Overview: Recognizing 2D curves.",1
"./overviews/o-recognizing3dsurfaces.qmd","Guide: Introduction to polar coordinates",1
"./overviews/o-recognizing3dsurfaces.qmd","To learn more about what conic sections are, please see Guide: Introduction to 2D conic sections.",1
"./overviews/o-recognizing3dsurfaces.qmd","Overview: Recognizing 2D curves",2
"./overviews/o-recognizing3dsurfaces.qmd","Guide: Introduction to 2D conic sections",6
"./overviews/o-setsofnumbers.qmd","Guide: Introduction to sigma notation",1
"./overviews/o-setsofnumbers.qmd","Guide: Introduction to solving simultaneous equations",1
"./overviews/o-setsofnumbers.qmd","Guide: PMFs, PDFs, and CDFs",1
"./overviews/o-setsofnumbers.qmd","Guide: Rationalizing the denominator",1
"./overviews/o-setsofnumbers.qmd","Guide: The scalar product",1
"./overviews/o-setsofnumbers.qmd","Guide: Trigonometry (degrees)",1
"./overviews/o-setsofnumbers.qmd","Guide: Using the quadratic formula",1
"./overviews/o-setsofnumbers.qmd","Proof: Constructing the reals",1
"./overviews/o-setsofnumbers.qmd","Proof: The square root of 2 is irrational",1
"./overviews/o-setsofnumbers.qmd","Guide: Arithmetic on complex numbers",2
"./overviews/o-setsofnumbers.qmd","Guide: Introduction to complex numbers",2
"./overviews/o-setsofnumbers.qmd","Guide: Introduction to quadratic equations",2
"./proofsheets/ps-bayestheorem.qmd","Guide: Operations on sets",1
"./proofsheets/ps-introtodifferentiation.qmd","Guide: Introduction to limits",1
"./proofsheets/ps-introtodifferentiation.qmd","Proof sheet: Derivatives of other common functions",1
"./proofsheets/ps-introtodifferentiation.qmd","Guide: The binomial theorem",2
"./proofsheets/ps-introtomatrices.qmd","Guide: Further summation notation",1
"./proofsheets/ps-introtomatrices.qmd","Guide: Introduction matrices",1
"./proofsheets/ps-introtomatrices.qmd","Guide: Introduction to matrices",3
"./proofsheets/ps-irrationalityofroottwo.qmd","Overview: Number sets",3
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: Changing co-ordinates in double integrals",1
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: Co-ordinate changes in double integration",1
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: Introduction to double integration",1
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: Introduction to integration",1
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: Integration by substitution",2
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: The binomial theorem",2
"./proofsheets/ps-pmfspdfscdfs.qmd","Guide: Properties of integration",3
"./proofsheets/ps-propertiesofsigmanotation.qmd","Guide: Proof by induction",1
"./proofsheets/ps-rulesofdifferentiation.qmd","Guide: Introduction to differentiability",1
"./proofsheets/ps-rulesofdifferentiation.qmd","Guide: Properties of limits",1
"./proofsheets/ps-rulesofdifferentiation.qmd","Guide: Introduction to continuity",2
"./proofsheets/ps-rulesofdifferentiation.qmd","Guide: Introduction to limits",4
"./proofsheets/ps-trigonometricidentities.qmd","1em",2
"./questions/qs-expectedvariance.qmd","Guide: Integration by parts",1
"./questions/qs-introtodifferentiation.qmd","Guide: Introduction to hyperbolic functions",1
"./questions/qs-matrixmultiplication.qmd","Guide: Introduction to matrices",1
"./questions/qs-productrule.qmd","Guide: Introduction to hyperbolic functions",1
"./studyguides/addandsm.qmd","Guide: Vector equation of a line",1
"./studyguides/arithmeticoncomplexnumbers.qmd","
  { id: ""w"", type: ""expression"", latex: ""w = -1 + 5i"", pointStyle: ""POINT"", hidden: false, secret: false, showLabel: true, color: ""#3F68B6""}, 
  { id: ""z"", type: ""expression"", latex: ""z = 3 - 4i"", pointStyle: ""POINT"", hidden: false, secret: false, showLabel: true, color: ""#3F68B6""}
  ",1
"./studyguides/arithmeticoncomplexnumbers.qmd"," 
  { id: ""z"", type: ""expression"", latex: ""z = 3 - 4i"", pointStyle: ""POINT"", hidden: false, secret: false, showLabel: true, color: ""#3F68B6""}
  ",1
"./studyguides/arithmeticoncomplexnumbers.qmd","0.5em",1
"./studyguides/arithmeticoncomplexnumbers.qmd","Guide: Introduction to expanding brackets",1
"./studyguides/arithmeticoncomplexnumbers.qmd","Guide: Modulus-argument form for complex numbers",1
"./studyguides/arithmeticoncomplexnumbers.qmd","Guide: Modulus-argument form of complex numbers",1
"./studyguides/chainrule.qmd","Guide: Binomial theorem",1
"./studyguides/completingthesquare.qmd","Guide: Expanding brackets",1
"./studyguides/completingthesquare.qmd","0.5em",5
"./studyguides/conditionalprobability.qmd","Guide: Operations on sets",1
"./studyguides/conicsections.qmd","Guide: 3D Conic",1
"./studyguides/conicsections.qmd","Questions: Introduction to 2D Conic Sections",1
"./studyguides/determinants.qmd","
  [1,2,3",1
"./studyguides/determinants.qmd","[",1
"./studyguides/determinants.qmd","4,5,6",1
"./studyguides/determinants.qmd","7,8,9",1
"./studyguides/determinants.qmd","Questions: Determinants",1
"./studyguides/expectedvariance.qmd","Guide: Introduction to data analysis",1
"./studyguides/gaussianelimination.qmd","For an introduction on matrices, please see Guide: Introduction to Matrices.",1
